locations,Australia,Belgium,Brazil,Cambodia,Canada,ChinaAnhui,ChinaBeijing,ChinaChongqing,ChinaFujian,ChinaGuangdong,ChinaHongKong,ChinaHubei,ChinaJiangsu,ChinaJiangxi,ChinaShandong,ChinaSichuan,ChinaYunnan,ChinaZhejiang,Finland,France,Germany,India,Italy,Japan,Luxembourg,Mexico,Nepal,Netherlands,NewZealand,Nigeria,Portugal,Singapore,SouthKorea,Sweden,Switzerland,Taiwan,Thailand,UK,USA,Vietnam
Australia,0.0,70.35001,348.60001,288.26000999999997,1197.24001,19.18001,1307.24001,51.25001,257.93001,954.24001,4162.52001,111.08001,214.16001,20.580009999999998,193.86001000000002,147.73001,59.19001,183.62001,114.82001,968.1600099999999,1022.88001,3332.4400100000003,679.4200099999999,3614.52001,3.25001,78.96001,188.77001,379.94001,13152.19001,22.73001,47.240010000000005,7005.17001,1690.47001,223.19001,453.33000999999996,835.78001,3987.70001,5214.63001,7401.8200099999995,1701.31001
Belgium,70.35001,0.0,155.60001,8.50001,209.72001,1.0800100000000001,117.51001000000001,1.3200100000000001,6.24001,10.55001,61.90001,1.3700100000000002,4.32001,0.02001,0.8500099999999999,4.25001,0.79001,14.17001,368.12001,2833.54001,2568.0100100000004,422.31001,6419.02001,98.79001000000001,0.68001,120.01001000000001,16.580009999999998,95.78001,13.200009999999999,23.080009999999998,960.52001,43.87001,26.93001,799.84001,2247.8200100000004,12.71001,543.23001,2937.3600100000003,2103.2100100000002,21.12001
Brazil,348.60001,155.60001,0.0,0.9700099999999999,663.26001,0.50001,156.73001,7.03001,10.23001,49.710010000000004,118.63001,4.010009999999999,6.930009999999999,0.050010000000000006,1.99001,2.71001,0.21001,10.71001,50.810010000000005,2114.31001,1376.67001,192.53001,2112.1300100000003,302.40000999999995,15.60001,1574.13001,3.36001,415.46000999999995,77.91001,12.870009999999999,1981.42001,96.87001000000001,224.29001,179.88001,830.19001,31.650009999999998,80.54001000000001,1565.56001,15536.10001,6.010009999999999
Cambodia,288.26000999999997,8.50001,0.9700099999999999,0.0,57.850010000000005,3.10001,188.52001,16.20001,93.33001,370.98001,304.19001,20.13001,10.450009999999999,4.550009999999999,18.68001,77.02001,220.95001,39.020010000000006,2.23001,271.81001,62.90001,55.44001,27.20001,724.10001,0.7100099999999999,0.90001,0.31001,15.55001,35.01001,0.19001,0.68001,795.08001,1913.78001,12.32001,32.40001,313.37001,2027.96001,82.94001,54.11001,3331.4600100000002
Canada,1197.24001,209.72001,663.26001,57.850010000000005,0.0,3.50001,1202.67001,15.76001,87.48001000000001,282.52000999999996,1636.1100099999999,21.46001,8.50001,2.41001,32.90001,53.69001,12.98001,13.02001,57.15001,2063.37001,1062.6200099999999,3276.24001,562.6700099999999,968.1800099999999,19.52001,11740.83001,16.87001,399.85001,346.64000999999996,96.85001,276.68001,204.79001,846.8000099999999,143.49001,541.6600099999999,390.92001,558.23001,3160.06001,61316.10001,471.01000999999997
ChinaAnhui,19.18001,1.0800100000000001,0.50001,3.10001,3.50001,0.0,1912.70001,768.6800099999999,1450.59001,3697.5500100000004,85.75001,0.11001,2.4700100000000003,35.94001,472.71000999999995,740.44001,811.36001,103.61001,1e-05,3.36001,3.02001,1.3200100000000001,1.53001,26.25001,1e-05,0.07001,1.26001,0.8200099999999999,0.99001,1e-05,1e-05,64.87001000000001,125.15001000000001,0.28001000000000004,0.23001000000000002,370.79001,87.37001000000001,4.430009999999999,12.85001,5.49001
ChinaBeijing,1307.24001,117.51001000000001,156.73001,188.52001,1202.67001,1912.70001,0.0,5018.5700099999995,6408.230009999999,20929.60001,5068.04001,5357.52001,3500.52001,2976.95001,6241.43001,9894.98001,5616.77001,10885.51001,121.57001,815.64001,1234.26001,343.51000999999997,608.9100099999999,2834.1900100000003,4.82001,28.75001,41.920010000000005,267.81001,224.04001,113.38001,32.950010000000006,2140.79001,4033.1300100000003,151.92001,278.54001,2401.50001,2749.9000100000003,1148.3700099999999,5042.66001,452.04001
ChinaChongqing,51.25001,1.3200100000000001,7.03001,16.20001,15.76001,768.6800099999999,5018.5700099999995,0.0,2635.5500100000004,11557.53001,461.38000999999997,1745.39001,2308.9600100000002,645.0600099999999,1797.19001,178.37001,4752.360009999999,3188.0100100000004,32.16001,21.31001,27.44001,15.73001,16.25001,73.07001,1e-05,0.43001,0.91001,2.4900100000000003,13.91001,2.12001,0.65001,204.11001000000002,83.40001000000001,7.9200099999999996,5.79001,546.95001,483.61001,35.890010000000004,76.78001,25.29001
ChinaFujian,257.93001,6.24001,10.23001,93.33001,87.48001000000001,1450.59001,6408.230009999999,2635.5500100000004,0.0,9284.50001,2536.1700100000003,2450.20001,3278.8400100000003,1765.52001,2769.18001,2238.79001,2224.3000100000004,3767.16001,1.18001,19.48001,51.62001,38.87001,36.16001,900.78001,1e-05,0.25001,2.53001,19.97001,24.73001,0.050010000000000006,1.47001,850.10001,336.43001,3.69001,7.53001,1998.69001,325.88000999999997,157.82001,188.73001,58.07001
ChinaGuangdong,954.24001,10.55001,49.710010000000004,370.98001,282.52000999999996,3697.5500100000004,20929.60001,11557.53001,9284.50001,0.0,406.58000999999996,5583.09001,9006.300009999999,4697.37001,7427.440009999999,14388.54001,6606.92001,18588.760009999998,2.29001,160.20001,153.33001000000002,354.80001,97.89001,1114.95001,0.45001,16.78001,70.49001,46.30001,169.87001,134.46001,7.00001,2200.9600100000002,1882.81001,13.48001,22.490009999999998,2689.56001,2468.8400100000003,252.70001,942.7900099999999,1228.23001
